ID,Term,Aliases / Related labels,Category,Subcategory,Plain-English meaning,Mechanical role,Typical value / unit,Design notes / distinctions,Example systems,Scope,Source keys,Primary source URL,Additional source URLs,Added,Search tags
WG-1073,Dedicated Action,dedicated action,Turn structure,Restricted action,An action reserved for particular unit types or specialised procedures rather than the standard action list.,Separates specialist capabilities from universal actions,action class,"Useful when ships, engineers or other specialists need bespoke actions without bloating the core action list.",Blood & Bayonets,Generic design concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,dedicated action dedicated action turn structure restricted action
WG-1074,Residual Movement,remaining ship movement; residual move,Movement,Deferred movement,"Movement still owed by a ship after unit activations, resolved later in the turn.",Models continuing momentum after active decisions have ended,distance remaining,A useful way to separate steering choices from compulsory continuing motion.,Blood & Bayonets,"System-specific label, generic concept",BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,residual movement remaining ship movement; residual move movement deferred movement
WG-1075,Change Sail Setting,sail setting; sail-state change,Movement,Propulsion action,A ship action that changes its sail configuration and therefore its subsequent movement behaviour.,Makes propulsion state an explicit player-controlled variable,state / dedicated action,Generic naval design concept for speed configuration rather than raw movement allowance.,Blood & Bayonets,Generic concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,change sail setting sail setting; sail-state change movement propulsion action
WG-1076,Advance Maneuver,advance manoeuvre; ship manoeuvre,Movement,Ship manoeuvre action,A specialised ship action used for more advanced manoeuvring than ordinary movement.,Provides a separate action channel for demanding vessel handling,dedicated action / geometry,Useful when ordinary sailing and advanced seamanship should have different costs.,Blood & Bayonets,"System-specific label, generic concept",BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,advance maneuver advance manoeuvre; ship manoeuvre movement ship manoeuvre action
WG-1077,Ship Hull Critical,hull critical; hull damage table,Damage & morale,Critical-damage location,"A critical-damage family applied to a vessel's hull, producing effects such as fire, leaks, steering damage or catastrophic loss.",Routes severe hits through a subsystem-specific result table,table / damage state,Separates hull consequences from rigging consequences.,Blood & Bayonets,Generic naval concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,ship hull critical hull critical; hull damage table damage & morale critical-damage location
WG-1078,Ship Rigging Critical,rigging critical; rigging damage table,Damage & morale,Critical-damage location,"A critical-damage family applied to sails, spars, masts and associated rigging rather than the hull.",Lets naval damage degrade mobility independently of hull integrity,table / damage state,Useful subsystem-damage architecture for vehicles with separable mobility systems.,Blood & Bayonets,Generic naval concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,ship rigging critical rigging critical; rigging damage table damage & morale critical-damage location
WG-1079,Fouled,ships fouled; fouling,Movement,Collision state,A state in which colliding vessels become entangled and cannot simply separate as normal.,Turns some collisions into an ongoing positional constraint,state / collision result,Useful for naval games where contact can create persistent entanglement.,Blood & Bayonets,Generic naval concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,fouled ships fouled; fouling movement collision state
WG-1080,Roundshot,round shot; solid shot,Combat & weapons,Artillery ammunition,Solid cannon ammunition used as the baseline anti-hull or direct-fire projectile.,Provides a general-purpose artillery ammunition mode,ammunition type / damage die,Useful in games where artillery ammunition type changes the target effect.,Blood & Bayonets,Generic historical concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,roundshot round shot; solid shot combat & weapons artillery ammunition
WG-1081,Chainshot,chain shot; anti-rigging shot,Combat & weapons,Artillery ammunition,"Specialised cannon ammunition intended primarily to damage sails, spars and rigging.",Targets mobility subsystems rather than hull integrity,ammunition type / damage die,Good example of ammunition creating target-system choice rather than only damage scaling.,Blood & Bayonets,Generic historical concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,chainshot chain shot; anti-rigging shot combat & weapons artillery ammunition
WG-1082,Attack Column,column of attack; assault column,Movement,Formation,A compact infantry formation prioritising movement and assault handling over the frontage of a line.,Changes movement and combat geometry through formation choice,formation / footprint,Distinct from generic Column when the rules explicitly treat an assault-oriented column as a formation type.,Blood & Bayonets,Generic historical/game concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,attack column column of attack; assault column movement formation
WG-1083,Loose Formation,loose order; loose formation,Movement,Formation,A dispersed formation with wider spacing between models or elements.,Trades compact formation benefits for flexibility or reduced vulnerability,formation / spacing,Generic formation family useful for irregular or light troops.,Blood & Bayonets,Generic concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,loose formation loose order; loose formation movement formation
WG-1084,Skirmish Formation,skirmish order; skirmish formation,Movement,Formation,A dispersed combat formation used by troops operating as skirmishers rather than in close-order bodies.,"Changes frontage, movement and vulnerability through dispersed deployment",formation / spacing,Different from the role 'Skirmisher': this is the formation state.,Blood & Bayonets,Generic concept,BBAY-QRS-26,https://ik.imagekit.io/firelockgames/Blood%20%26%20Bayonets/Blood%20%26%20Bayonets%20-%20Quick%20Reference%20Sheet_0oO2V-05WE.pdf?updatedAt=1762454719109,,2026-09-23,skirmish formation skirmish order; skirmish formation movement formation
WG-1085,Spell Token,spell point; magic token,Magic & powers,Magic resource,A renewable resource accumulated by a caster and spent to attempt spells.,Creates a bounded magic economy separate from ordinary actions,"tokens / points, usually capped",Useful when casters can bank some magical capacity across activations or rounds.,Age of Fantasy,Generic design concept,AOF-WIKI-341,https://wiki.onepagerules.com/index.php/Age_of_Fantasy_Special_Rules,,2026-09-23,spell token spell point; magic token magic & powers magic resource
WG-1086,Spell Assistance,spell-token donation; casting support,Magic & powers,Cooperative casting,A mechanic allowing nearby casters to spend their own magic resources to improve or hinder another casting attempt.,Turns separate caster pools into a local cooperative or counter-casting network,tokens spent / roll modifier,Useful for magic systems where positioning multiple casters matters.,Age of Fantasy,Generic design concept,AOF-WIKI-341,https://wiki.onepagerules.com/index.php/Age_of_Fantasy_Special_Rules,,2026-09-23,spell assistance spell-token donation; casting support magic & powers cooperative casting
WG-1087,Command Group,command-group upgrade,Deployment & army building,Unit upgrade package,"A package of specialist models such as a leader, musician or standard bearer that grants distinct unit enhancements.",Bundles several small battlefield bonuses into visible unit members,upgrade slots / points,"Generic rank-and-file design concept, distinct from a command team acting as its own unit.",Age of Fantasy,Generic concept,AOF-WIKI-341,https://wiki.onepagerules.com/index.php/Age_of_Fantasy_Special_Rules,,2026-09-23,command group command-group upgrade deployment & army building unit upgrade package
WG-1088,Sergeant Upgrade,sergeant; unit sergeant,Deployment & army building,Command-group upgrade,A command-group member that improves the unit's combat accuracy or leadership through a model-level upgrade.,Represents junior leadership as an embedded upgrade,one model / points,Useful where command-group members have separate mechanical jobs.,Age of Fantasy,Generic concept,AOF-WIKI-341,https://wiki.onepagerules.com/index.php/Age_of_Fantasy_Special_Rules,,2026-09-23,sergeant upgrade sergeant; unit sergeant deployment & army building command-group upgrade
WG-1089,Musician Upgrade,musician; unit musician,Deployment & army building,Command-group upgrade,A command-group member that improves movement or manoeuvre performance.,Turns a visible musician model into a mobility bonus,one model / movement modifier,Classic rank-and-file command-group role.,Age of Fantasy,Generic concept,AOF-WIKI-341,https://wiki.onepagerules.com/index.php/Age_of_Fantasy_Special_Rules,,2026-09-23,musician upgrade musician; unit musician deployment & army building command-group upgrade
